tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth_year,gender
127,27:11.1,29:19.1,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,42293,Customer,1970,0
346,27:37.7,33:24.6,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42150,Customer,1970,0
387,28:52.4,35:19.4,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42535,Customer,1970,0
2039,29:28.4,03:27.7,3202,Newport PATH,40.7272235,-74.0337589,3279,Dixon Mills,40.72163014,-74.04996783,45683,Customer,1970,0
500,30:46.0,39:06.4,3279,Dixon Mills,40.72163014,-74.04996783,3267,Morris Canal,40.71241882,-74.03852552,44920,Customer,1970,0
372,31:05.5,37:17.8,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,45138,Customer,1970,0
1892,31:56.5,03:29.1,3202,Newport PATH,40.7272235,-74.0337589,3279,Dixon Mills,40.72163014,-74.04996783,42157,Customer,1970,0
794,33:11.6,46:25.9,3199,Newport Pkwy,40.7287448,-74.0321082,3640,Journal Square,40.73367,-74.0625,40306,Customer,1970,0
998,33:19.2,49:58.1,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,48932,Customer,1970,0
403,35:00.0,41:43.7,3210,Pershing Field,40.74267714,-74.05178863,3220,5 Corners Library,40.73496102,-74.05950308,46220,Customer,1970,0
390,35:05.5,41:35.7,3210,Pershing Field,40.74267714,-74.05178863,3220,5 Corners Library,40.73496102,-74.05950308,40958,Customer,1970,0
152,35:10.6,37:42.7,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,41608,Customer,1970,0
575,36:09.5,45:45.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3192,Liberty Light Rail,40.7112423,-74.0557013,45343,Customer,1970,0
494,40:42.5,48:57.4,3276,Marin Light Rail,40.71458404,-74.04281706,3202,Newport PATH,40.7272235,-74.0337589,38460,Customer,1970,0
1169,43:13.4,02:43.1,3194,McGinley Square,40.72533993,-74.06762213,3199,Newport Pkwy,40.7287448,-74.0321082,43236,Customer,1970,0
217,48:55.1,52:32.7,3214,Essex Light Rail,40.7127742,-74.0364857,3275,Columbus Drive,40.7183552,-74.03891444,44283,Customer,1970,0
451,51:36.3,59:07.6,3681,Grand St,40.71517768,-74.03768331,3279,Dixon Mills,40.72163014,-74.04996783,40168,Customer,1970,0
285,52:54.6,57:40.5,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,26469,Customer,1970,0
843,02:22.7,16:26.3,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,28367,Customer,1970,0
264,03:16.7,07:40.8,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,33911,Customer,1970,0
645,04:00.4,14:45.9,3209,Brunswick St,40.7241765,-74.0506564,3207,Oakland Ave,40.7376037,-74.0524783,44747,Customer,1970,0
631,04:16.0,14:47.5,3209,Brunswick St,40.7241765,-74.0506564,3207,Oakland Ave,40.7376037,-74.0524783,44505,Customer,1970,0
143,08:19.9,10:43.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,48739,Customer,1970,0
435,08:33.8,15:48.8,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,42614,Subscriber,1970,0
402,08:57.4,15:40.2,3275,Columbus Drive,40.7183552,-74.03891444,3209,Brunswick St,40.7241765,-74.0506564,34333,Customer,1970,0
902,12:28.3,27:31.1,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3210,Pershing Field,40.74267714,-74.05178863,43558,Customer,1970,0
1593,12:46.3,39:20.2,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,44920,Subscriber,1976,2
390,12:53.9,19:24.5,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,28433,Customer,1970,0
678,13:23.0,24:41.0,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,43803,Subscriber,1980,1
245,13:43.4,17:48.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,48754,Subscriber,1977,1
292,16:40.6,21:32.8,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,42314,Customer,1970,0
601,18:02.1,28:03.6,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,32526,Customer,1970,0
433,18:18.6,25:32.4,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,48739,Subscriber,1985,1
1032,25:07.8,42:20.3,3280,Astor Place,40.7192822,-74.07126188,3280,Astor Place,40.7192822,-74.07126188,45582,Customer,1970,0
330,26:43.6,32:13.6,3195,Sip Ave,40.7308971,-74.06391263,3201,Dey St,40.737711,-74.066921,42535,Customer,1970,0
197,26:56.1,30:13.5,3211,Newark Ave,40.72152515,-74.04630454,3269,Brunswick & 6th,40.72601173,-74.05038893,48754,Subscriber,1977,1
698,30:15.1,41:53.3,3203,Hamilton Park,40.72759597,-74.04424731,3681,Grand St,40.71517768,-74.03768331,31171,Customer,1970,0
395,30:26.6,37:02.5,3267,Morris Canal,40.71241882,-74.03852552,3205,JC Medical Center,40.71653978,-74.04963791,40440,Customer,1970,0
1117,34:26.0,53:03.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3483,Montgomery St,40.71942,-74.05099,44422,Customer,1970,0
414,37:12.6,44:07.6,3212,Christ Hospital,40.73478582,-74.05044364,3196,Riverview Park,40.7443187,-74.0439909,47252,Subscriber,1970,1
283,38:45.1,43:28.3,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,39533,Customer,1970,0
448,40:13.5,47:42.4,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,29387,Subscriber,1989,2
489,41:14.1,49:23.1,3681,Grand St,40.71517768,-74.03768331,3279,Dixon Mills,40.72163014,-74.04996783,34964,Customer,1970,0
1507,42:20.8,07:28.3,3483,Montgomery St,40.71942,-74.05099,3214,Essex Light Rail,40.7127742,-74.0364857,43467,Subscriber,1958,1
550,45:11.3,54:21.4,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,40308,Customer,1970,0
544,45:17.2,54:21.5,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,45726,Customer,1970,0
1007,45:47.3,02:34.8,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3279,Dixon Mills,40.72163014,-74.04996783,27102,Subscriber,1986,1
287,48:49.3,53:37.0,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.7287448,-74.0321082,42363,Subscriber,1996,1
217,52:36.2,56:13.9,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42191,Customer,1970,0
886,54:05.6,08:52.0,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,30619,Subscriber,1979,1
645,55:44.6,06:30.6,3209,Brunswick St,40.7241765,-74.0506564,3681,Grand St,40.71517768,-74.03768331,33911,Customer,1970,0
1012,56:21.6,13:13.6,3205,JC Medical Center,40.71653978,-74.04963791,3279,Dixon Mills,40.72163014,-74.04996783,39772,Customer,1970,0
214,57:38.1,01:12.7,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,48754,Subscriber,1977,1
341,58:38.1,04:19.9,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,27655,Customer,1970,0
543,59:50.1,08:53.9,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3205,JC Medical Center,40.71653978,-74.04963791,39329,Customer,1970,0
177,00:32.8,03:29.9,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,42293,Customer,1970,0
345,01:11.8,06:57.2,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,44683,Customer,1970,0
1395,06:33.9,29:49.4,3202,Newport PATH,40.7272235,-74.0337589,3275,Columbus Drive,40.7183552,-74.03891444,42370,Customer,1970,0
743,06:51.6,19:15.0,3202,Newport PATH,40.7272235,-74.0337589,3276,Marin Light Rail,40.71458404,-74.04281706,48753,Customer,1970,0
2602,10:29.9,53:52.8,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,39329,Customer,1970,0
1366,12:38.6,35:24.9,3214,Essex Light Rail,40.7127742,-74.0364857,3192,Liberty Light Rail,40.7112423,-74.0557013,43467,Subscriber,1958,1
570,12:55.6,22:26.3,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,42105,Customer,1970,0
1133,15:34.8,34:28.8,3214,Essex Light Rail,40.7127742,-74.0364857,3681,Grand St,40.71517768,-74.03768331,33149,Customer,1970,0
526,17:28.9,26:15.6,3276,Marin Light Rail,40.71458404,-74.04281706,3638,Washington St,40.7242941,-74.0354826,46541,Customer,1970,0
349,17:37.3,23:26.5,3185,City Hall,40.7177325,-74.043845,3272,Jersey & 3rd,40.72333159,-74.04595256,40796,Customer,1970,0
403,17:48.2,24:32.0,3278,Monmouth and 6th,40.72568548,-74.04879034,3187,Warren St,40.7211236,-74.03805095,42495,Subscriber,1996,2
247,19:39.7,23:46.7,3681,Grand St,40.71517768,-74.03768331,3275,Columbus Drive,40.7183552,-74.03891444,29072,Subscriber,1983,1
976,24:58.2,41:14.8,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,45261,Customer,1970,0
248,25:45.8,29:54.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,45014,Customer,1970,0
333,25:46.8,31:19.8,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458404,-74.04281706,43206,Customer,1970,0
704,30:14.4,41:59.2,3681,Grand St,40.71517768,-74.03768331,3199,Newport Pkwy,40.7287448,-74.0321082,46226,Customer,1970,0
272,31:35.9,36:08.0,3184,Paulus Hook,40.7141454,-74.0335519,3276,Marin Light Rail,40.71458404,-74.04281706,44721,Customer,1970,0
1148,33:17.5,52:26.0,3202,Newport PATH,40.7272235,-74.0337589,3196,Riverview Park,40.7443187,-74.0439909,44358,Customer,1970,0
693,34:17.4,45:50.7,3196,Riverview Park,40.7443187,-74.0439909,3206,Hilltop,40.7311689,-74.0575736,47252,Subscriber,1970,1
2230,37:35.1,14:45.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,43467,Subscriber,1958,1
376,40:53.2,47:10.1,3275,Columbus Drive,40.7183552,-74.03891444,3199,Newport Pkwy,40.7287448,-74.0321082,42174,Customer,1970,0
274,45:20.7,49:55.0,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,42311,Customer,1970,0
88,47:09.9,48:38.5,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44872,Subscriber,1998,1
610,48:48.4,58:59.0,3205,JC Medical Center,40.71653978,-74.04963791,3638,Washington St,40.7242941,-74.0354826,39055,Customer,1970,0
254,53:20.8,57:35.7,3275,Columbus Drive,40.7183552,-74.03891444,3214,Essex Light Rail,40.7127742,-74.0364857,44556,Customer,1970,0
4022,55:56.8,02:59.5,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,48739,Customer,1970,0
1085,58:47.5,16:53.2,3205,JC Medical Center,40.71653978,-74.04963791,3225,Baldwin at Montgomery,40.7236589,-74.0641943,39329,Customer,1970,0
259,59:30.4,03:49.5,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,46538,Customer,1970,0
163,03:05.9,05:49.2,3640,Journal Square,40.73367,-74.0625,3201,Dey St,40.737711,-74.066921,40306,Customer,1970,0
543,03:29.8,12:33.4,3275,Columbus Drive,40.7183552,-74.03891444,3638,Washington St,40.7242941,-74.0354826,44283,Customer,1970,0
215,08:26.7,12:01.9,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,42293,Customer,1970,0
465,08:32.4,16:17.6,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,41002,Subscriber,1996,1
723,10:08.8,22:12.1,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,46529,Subscriber,1994,1
542,15:16.9,24:19.7,3199,Newport Pkwy,40.7287448,-74.0321082,3272,Jersey & 3rd,40.72333159,-74.04595256,46226,Subscriber,1980,1
2644,17:37.9,01:42.7,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,43467,Subscriber,1958,1
1162,18:12.6,37:34.8,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44283,Customer,1970,0
401,24:13.9,30:55.8,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42191,Subscriber,1983,2
395,30:52.7,37:28.0,3638,Washington St,40.7242941,-74.0354826,3269,Brunswick & 6th,40.72601173,-74.05038893,41369,Customer,1970,0
122,31:52.4,33:55.0,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42117,Customer,1970,0
714,34:18.1,46:12.9,3199,Newport Pkwy,40.7287448,-74.0321082,3681,Grand St,40.71517768,-74.03768331,40988,Customer,1970,0
517,36:27.1,45:04.2,3211,Newark Ave,40.72152515,-74.04630454,3192,Liberty Light Rail,40.7112423,-74.0557013,24987,Customer,1970,0
597,38:51.5,48:48.9,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,28186,Customer,1970,0
292,39:01.7,43:54.5,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,40866,Customer,1970,0
1359,40:25.8,03:05.8,3281,Leonard Gordon Park,40.74590997,-74.05727148,3210,Pershing Field,40.74267714,-74.05178863,42147,Customer,1970,0
934,41:47.0,57:21.4,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,41618,Customer,1970,0
271,50:28.0,54:59.7,3187,Warren St,40.7211236,-74.03805095,3185,City Hall,40.7177325,-74.043845,42495,Customer,1970,0
332,54:49.3,00:21.5,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,42150,Customer,1970,0
125,57:05.9,59:11.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,44872,Customer,1970,0
618,02:58.7,13:17.2,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,43467,Subscriber,1958,1
301,03:51.5,08:52.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,39533,Customer,1970,0
581,15:18.0,24:59.4,3679,Bergen Ave,40.72210379,-74.071455,3209,Brunswick St,40.7241765,-74.0506564,41838,Customer,1970,0
758,16:02.5,28:40.8,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,33008,Customer,1970,0
